Year,date,season,Sky_condition_code,Building code,Building,Façade,Feather Friendly?,Survey start time ,Survey end time (by building),Surveyor,Evidence_found,Type_of_Collision,collision.type.category,ground_or_window, # of feathers,Carcass ID,Species ,description of evidence,Feather Description,Additional notes,Blinds (Open/Closed)
2024,09/02/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL1,NO,10:23,10:28,"KS,FY",0,,,,,,,,,,
2024,09/02/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL2,NO,10:23,10:28,"KS,FY",0,,,,,,,,,,
2024,09/02/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL3,NO,10:23,10:28,"KS,FY",1,fs,Feather smear,w,,,,small feathers stuck to window,,wall-institute-F3A-09FEB2024,
2024,09/02/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL3,NO,10:23,10:28,"KS,FY",1,fs,Feather smear,w,,,,tiny feathers stuck to window,,wall-institute-F3B-09FEB2024,
2024,09/02/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL3,NO,10:23,10:28,"KS,FY",1,fs,Feather smear,w,,,,smear 2 small feathers stuck to window,,wall-institute-F3C-09FEB2024,
2024,09/02/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL4,NO,10:23,10:28,"KS,FY",0,,,,,,,,,,
2024,09/02/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL5,NO,10:23,10:28,"KS,FY",0,,,,,,,,,,
2024,12/02/2024,winter,1,Wall.Centre for Advanced Studies,WALL,WALL1,NO,10:39,10:40,"KS,FY",0,,,,,,,,,,
2024,12/02/2024,winter,1,Wall.Centre for Advanced Studies,WALL,WALL2,NO,10:39,10:40,"KS,FY",0,,,,,,,,,,
2024,12/02/2024,winter,1,Wall.Centre for Advanced Studies,WALL,WALL3,NO,10:39,10:40,"KS,FY",0,,,,,,,,,,
2024,12/02/2024,winter,1,Wall.Centre for Advanced Studies,WALL,WALL4,NO,10:39,10:40,"KS,FY",0,,,,,,,,,,
2024,12/02/2024,winter,1,Wall.Centre for Advanced Studies,WALL,WALL5,NO,10:39,10:40,"KS,FY",0,,,,,,,,,,
2024,15/02/2024,winter,2,Wall.Centre for Advanced Studies,WALL,WALL1,NO,10:40,10:46,"Rl, MZ",0,,,,,,,,,,
2024,15/02/2024,winter,2,Wall.Centre for Advanced Studies,WALL,WALL2,NO,10:40,10:46,"Rl, MZ",0,,,,,,,,,,
2024,15/02/2024,winter,2,Wall.Centre for Advanced Studies,WALL,WALL3,NO,10:40,10:46,"Rl, MZ",0,,,,,,,,,,
2024,15/02/2024,winter,2,Wall.Centre for Advanced Studies,WALL,WALL4,NO,10:40,10:46,"Rl, MZ",0,,,,,,,,,,
2024,15/02/2024,winter,2,Wall.Centre for Advanced Studies,WALL,WALL5,NO,10:40,10:46,"Rl, MZ",0,,,,,,,,,,
2024,20/02/2024,winter,6,Wall.Centre for Advanced Studies,WALL,WALL1,NO,11:04,11:14,"MZ,SV",0,,,,,,,,,,
2024,20/02/2024,winter,6,Wall.Centre for Advanced Studies,WALL,WALL2,NO,11:04,11:14,"MZ,SV",0,,,,,,,,,,
2024,20/02/2024,winter,6,Wall.Centre for Advanced Studies,WALL,WALL3,NO,11:04,11:14,"MZ,SV",0,,,,,,,,,,
2024,20/02/2024,winter,6,Wall.Centre for Advanced Studies,WALL,WALL4,NO,11:04,11:14,"MZ,SV",0,,,,,,,,,,
2024,20/02/2024,winter,6,Wall.Centre for Advanced Studies,WALL,WALL5,NO,11:04,11:14,"MZ,SV",0,,,,,,,,,,
2024,22/02/2024,winter,6,Wall.Centre for Advanced Studies,WALL,WALL1,NO,11:04,11:14,"MZ,SV",0,,,,,,,,,,
2024,22/02/2024,winter,6,Wall.Centre for Advanced Studies,WALL,WALL2,NO,11:04,11:14,"MZ,SV",0,,,,,,,,,,
2024,22/02/2024,winter,6,Wall.Centre for Advanced Studies,WALL,WALL3,NO,11:04,11:14,"MZ,SV",0,,,,,,,,,,
2024,22/02/2024,winter,6,Wall.Centre for Advanced Studies,WALL,WALL4,NO,11:04,11:14,"MZ,SV",0,,,,,,,,,,
2024,22/02/2024,winter,6,Wall.Centre for Advanced Studies,WALL,WALL5,NO,11:04,11:14,"MZ,SV",0,,,,,,,,,,
2024,26/02/2026,winter,0,Wall.Centre for Advanced Studies,WALL,WALL1,NO,10:43,10:45,"FY, KS",0,,,,,,,,,,
2024,26/02/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL2,NO,10:43,10:45,"FY, KS",0,,,,,,,,,,
2024,26/02/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL3,NO,10:43,10:45,"FY, KS",1,fs,Feather smear,w,,,,Small feather on window,,wall-institute-F3C-26FEB2024,
2024,26/02/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL4,NO,10:43,10:45,"FY, KS",0,,,,,,,,,,
2024,26/02/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL5,NO,10:43,10:45,"FY, KS",0,,,,,,,,,,
2024,29/02/2024,winter,1,Wall.Centre for Advanced Studies,WALL,WALL1,NO,10:39,10:46,"MZ,RL",0,,,,,,,,,,
2024,29/02/2024,winter,1,Wall.Centre for Advanced Studies,WALL,WALL2,NO,10:39,10:46,"MZ,RL",0,,,,,,,,,,
2024,29/02/2024,winter,1,Wall.Centre for Advanced Studies,WALL,WALL3,NO,10:39,10:46,"MZ,RL",0,,,,,,,,,,
2024,29/02/2024,winter,1,Wall.Centre for Advanced Studies,WALL,WALL4,NO,10:39,10:46,"MZ,RL",0,,,,,,,,,,
2024,29/02/2024,winter,1,Wall.Centre for Advanced Studies,WALL,WALL5,NO,10:39,10:46,"MZ,RL",0,,,,,,,,,,
2024,07/03/2024,winter,2,Wall.Centre for Advanced Studies,WALL,WALL1,NO,10:24,10:28,"MZ,RL",0,,,,,,,,,,
2024,07/03/2024,winter,2,Wall.Centre for Advanced Studies,WALL,WALL2,NO,10:24,10:28,"MZ,RL",0,,,,,,,,,,
2024,07/03/2024,winter,2,Wall.Centre for Advanced Studies,WALL,WALL3,NO,10:24,10:28,"MZ,RL",0,,,,,,,,,,
2024,07/03/2024,winter,2,Wall.Centre for Advanced Studies,WALL,WALL4,NO,10:24,10:28,"MZ,RL",0,,,,,,,,,,
2024,07/03/2024,winter,2,Wall.Centre for Advanced Studies,WALL,WALL5,NO,10:24,10:28,"MZ,RL",0,,,,,,,,,,
2024,08/03/2024,winter,5,Wall.Centre for Advanced Studies,WALL,WALL1,NO,10:27,10:32,"MZ,RL",0,,,,,,,,,,
2024,08/03/2024,winter,5,Wall.Centre for Advanced Studies,WALL,WALL2,NO,10:27,10:32,"MZ,RL",0,,,,,,,,,,
2024,08/03/2024,winter,5,Wall.Centre for Advanced Studies,WALL,WALL3,NO,10:27,10:32,"MZ,RL",0,,,,,,,,,,
2024,08/03/2024,winter,5,Wall.Centre for Advanced Studies,WALL,WALL4,NO,10:27,10:32,"MZ,RL",0,,,,,,,,,,
2024,08/03/2024,winter,5,Wall.Centre for Advanced Studies,WALL,WALL5,NO,10:27,10:32,"MZ,RL",0,,,,,,,,,,
2024,12/03/2024,winter,5,Wall.Centre for Advanced Studies,WALL,WALL1,NO,10:03,10:11,"KS,FY",0,,,,,,,,,,
2024,12/03/2024,winter,5,Wall.Centre for Advanced Studies,WALL,WALL2,NO,10:03,10:11,"KS,FY",0,,,,,,,,,,
2024,12/03/2024,winter,5,Wall.Centre for Advanced Studies,WALL,WALL3,NO,10:03,10:11,"KS,FY",0,,,,,,,,,,
2024,12/03/2024,winter,5,Wall.Centre for Advanced Studies,WALL,WALL4,NO,10:03,10:11,"KS,FY",0,,,,,,,,,,
2024,12/03/2024,winter,5,Wall.Centre for Advanced Studies,WALL,WALL5,NO,10:03,10:11,"KS,FY",0,,,,,,,,,,
2024,14/03/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL1,NO,10:41,10:46,"Rl, MZ",0,,,,,,,,,,
2024,14/03/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL2,NO,10:41,10:46,"Rl, MZ",0,,,,,,,,,,
2024,14/03/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL3,NO,10:41,10:46,"Rl, MZ",0,,,,,,,,,,
2024,14/03/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL4,NO,10:41,10:46,"Rl, MZ",0,,,,,,,,,,
2024,14/03/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL5,NO,10:41,10:46,"Rl, MZ",0,,,,,,,,,,
2024,15/03/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL1,NO,10:10,10:19,"KS,FY",0,,,,,,,,,,
2024,15/03/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL2,NO,10:10,10:19,"KS,FY",0,,,,,,,,,,
2024,15/03/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL3,NO,10:10,10:19,"KS,FY",0,,,,,,,,,,
2024,15/03/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL4,NO,10:10,10:19,"KS,FY",0,,,,,,,,,,
2024,15/03/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL5,NO,10:10,10:19,"KS,FY",0,,,,,,,,,,
2024,18/03/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL1,NO,10:53,10:54,"KS,FY",0,,,,,,,,,,
2024,18/03/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL2,NO,10:53,10:54,"KS,FY",0,,,,,,,,,,
2024,18/03/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL3,NO,10:53,10:54,"KS,FY",0,,,,,,,,,,
2024,18/03/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL4,NO,10:53,10:54,"KS,FY",0,,,,,,,,,,
2024,18/03/2024,winter,0,Wall.Centre for Advanced Studies,WALL,WALL5,NO,10:53,10:54,"KS,FY",0,,,,,,,,,,
2024,21/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL1,NO,10:44,10:48,MZ,0,,,,,,,,,,
2024,21/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL2,NO,10:44,10:48,MZ,0,,,,,,,,,,
2024,21/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL3,NO,10:44,10:48,MZ,0,,,,,,,,,,
2024,21/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL4,NO,10:44,10:48,MZ,0,,,,,,,,,,
2024,21/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL5,NO,10:44,10:48,MZ,0,,,,,,,,,,
2024,22/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL1,NO,10:30,10:33,RL,0,,,,,,,,,,
2024,22/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL2,NO,10:30,10:33,RL,0,,,,,,,,,,
2024,22/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL3,NO,10:30,10:33,RL,0,,,,,,,,,,
2024,22/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL4,NO,10:30,10:33,RL,0,,,,,,,,,,
2024,22/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL5,NO,10:30,10:33,RL,0,,,,,,,,,,
2024,25/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL1,NO,10:43,10:50,"KS,FY",0,,,,,,,,,,
2024,25/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL2,NO,10:43,10:50,"KS,FY",0,,,,,,,,,,
2024,25/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL3,NO,10:43,10:50,"KS,FY",1,fs,Feather smear,window,,,,small smear on glass with feather -penny sized,,,
2024,25/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL4,NO,10:43,10:50,"KS,FY",0,,,,,,,,,,
2024,25/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL5,NO,10:43,10:50,"KS,FY",0,,,,,,,,,,
2024,28/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL1,NO,9:30,9:39,"KS,FY",0,,,,,,,,,,
2024,28/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL2,NO,9:30,9:39,"KS,FY",0,,,,,,,,,,
2024,28/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL3,NO,9:30,9:39,"KS,FY",1,fs,Feather smear,window,,,VATH?,3 quarter size feathers stuck to window.,,,
2024,28/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL4,NO,9:30,9:39,"KS,FY",0,,,,,,,,,,
2024,28/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL5,NO,9:30,9:39,"KS,FY",0,,,,,,,,,,
2024,29/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL1,NO,10:40,10:44,"MZ,RL",0,,,,,,,,,,
2024,29/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL2,NO,10:40,10:44,"MZ,RL",0,,,,,,,,,,
2024,29/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL3,NO,10:40,10:44,"MZ,RL",0,,,,,,,,,,
2024,29/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL4,NO,10:40,10:44,"MZ,RL",0,,,,,,,,,,
2024,29/03/2024,Spring,2,Wall.Centre for Advanced Studies,WALL,WALL5,NO,10:40,10:44,"MZ,RL",0,,,,,,,,,,
